"tag","split","stat","k","value"
"separable","train","mean",1,-0.231657347519917
"separable","train","mean",2,-5.55111512312578e-17
"separable","train","mean",3,-6.86950496486816e-17
"separable","train","mean",4,4.30211422042248e-17
"separable","train","sd",1,0.985190270983752
"separable","train","sd",2,1.012739426128
"separable","train","sd",3,1.0127393779435
"separable","train","sd",4,1.01273943765131
"separable","test","mean",1,-0.0981362808252105
"separable","test","mean",2,0.0164740222191567
"separable","test","mean",3,-0.246771587978535
"separable","test","mean",4,-0.365750970439519
"separable","test","sd",1,1.12582297376337
"separable","test","sd",2,1.31889351979398
"separable","test","sd",3,1.02577430181001
"separable","test","sd",4,1.91059711510716
"separable","train","minJ",NA,0.128738443437191
"separable","test","minJ",NA,0.129060123865593
"crossterm","train","mean",1,-0.00116460877269373
"crossterm","train","mean",2,0.00590867806576921
"crossterm","train","mean",3,0.0694452392961843
"crossterm","train","mean",4,0.104705197777776
"crossterm","train","sd",1,1.01500917923023
"crossterm","train","sd",2,0.876787237681383
"crossterm","train","sd",3,0.873549827071126
"crossterm","train","sd",4,0.76465858403122
"crossterm","test","mean",1,0.243632072605005
"crossterm","test","mean",2,-1.71811924598157
"crossterm","test","mean",3,0.659997307881606
"crossterm","test","mean",4,-2.02245510391191
"crossterm","test","sd",1,0.987283318009101
"crossterm","test","sd",2,5.73611772633306
"crossterm","test","sd",3,3.50118045967061
"crossterm","test","sd",4,6.47016713754363
"crossterm","train","minJ",NA,0.150302352527924
"crossterm","test","minJ",NA,0.0114911985099425
